µ¿,Ãþ,È£,´çÃ·¹øÈ£,
1µ¿,1Ãþ,1È£ :,903
1µ¿,1Ãþ,2È£ :,187
1µ¿,1Ãþ,3È£ :,170
1µ¿,1Ãþ,4È£ :,353
1µ¿,2Ãþ,1È£ :,648
1µ¿,2Ãþ,2È£ :,475
1µ¿,2Ãþ,3È£ :,656
1µ¿,2Ãþ,4È£ :,386
1µ¿,3Ãþ,1È£ :,524
1µ¿,3Ãþ,2È£ :,851
1µ¿,3Ãþ,3È£ :,158
1µ¿,3Ãþ,4È£ :,572
1µ¿,4Ãþ,1È£ :,758
1µ¿,4Ãþ,2È£ :,907
1µ¿,4Ãþ,3È£ :,236
1µ¿,4Ãþ,4È£ :,166
1µ¿,5Ãþ,1È£ :,268
1µ¿,5Ãþ,2È£ :,650
1µ¿,5Ãþ,3È£ :,991
1µ¿,5Ãþ,4È£ :,523
1µ¿,6Ãþ,1È£ :,588
1µ¿,6Ãþ,2È£ :,784
1µ¿,6Ãþ,3È£ :,208
1µ¿,6Ãþ,4È£ :,674
1µ¿,7Ãþ,1È£ :,257
1µ¿,7Ãþ,2È£ :,672
1µ¿,7Ãþ,3È£ :,657
1µ¿,7Ãþ,4È£ :,815
1µ¿,8Ãþ,1È£ :,14
1µ¿,8Ãþ,2È£ :,508
1µ¿,8Ãþ,3È£ :,222
1µ¿,8Ãþ,4È£ :,97
1µ¿,9Ãþ,1È£ :,99
1µ¿,9Ãþ,2È£ :,291
1µ¿,9Ãþ,3È£ :,385
1µ¿,9Ãþ,4È£ :,733
1µ¿,10Ãþ,1È£ :,485
1µ¿,10Ãþ,2È£ :,349
1µ¿,10Ãþ,3È£ :,605
1µ¿,10Ãþ,4È£ :,710
1µ¿,11Ãþ,1È£ :,926
1µ¿,11Ãþ,2È£ :,457
1µ¿,11Ãþ,3È£ :,122
1µ¿,11Ãþ,4È£ :,679
1µ¿,12Ãþ,1È£ :,491
1µ¿,12Ãþ,2È£ :,111
1µ¿,12Ãþ,3È£ :,70
1µ¿,12Ãþ,4È£ :,83
1µ¿,13Ãþ,1È£ :,949
1µ¿,13Ãþ,2È£ :,358
1µ¿,13Ãþ,3È£ :,948
1µ¿,13Ãþ,4È£ :,107
1µ¿,14Ãþ,1È£ :,884
1µ¿,14Ãþ,2È£ :,452
1µ¿,14Ãþ,3È£ :,359
1µ¿,14Ãþ,4È£ :,20
1µ¿,15Ãþ,1È£ :,777
1µ¿,15Ãþ,2È£ :,455
1µ¿,15Ãþ,3È£ :,208
1µ¿,15Ãþ,4È£ :,121
1µ¿,16Ãþ,1È£ :,443
1µ¿,16Ãþ,2È£ :,987
1µ¿,16Ãþ,3È£ :,274
1µ¿,16Ãþ,4È£ :,533
1µ¿,17Ãþ,1È£ :,198
1µ¿,17Ãþ,2È£ :,567
1µ¿,17Ãþ,3È£ :,128
1µ¿,17Ãþ,4È£ :,730
1µ¿,18Ãþ,1È£ :,30
1µ¿,18Ãþ,2È£ :,643
1µ¿,18Ãþ,3È£ :,835
1µ¿,18Ãþ,4È£ :,45
1µ¿,19Ãþ,1È£ :,366
1µ¿,19Ãþ,2È£ :,378
1µ¿,19Ãþ,3È£ :,848
1µ¿,19Ãþ,4È£ :,360
1µ¿,20Ãþ,1È£ :,16
1µ¿,20Ãþ,2È£ :,717
1µ¿,20Ãþ,3È£ :,483
1µ¿,20Ãþ,4È£ :,842
2µ¿,1Ãþ,1È£ :,1324
2µ¿,1Ãþ,2È£ :,1293
2µ¿,1Ãþ,3È£ :,1104
2µ¿,1Ãþ,4È£ :,1254
2µ¿,2Ãþ,1È£ :,1719
2µ¿,2Ãþ,2È£ :,1856
2µ¿,2Ãþ,3È£ :,1890
2µ¿,2Ãþ,4È£ :,1410
2µ¿,3Ãþ,1È£ :,1699
2µ¿,3Ãþ,2È£ :,1479
2µ¿,3Ãþ,3È£ :,1771
2µ¿,3Ãþ,4È£ :,1300
2µ¿,4Ãþ,1È£ :,1612
2µ¿,4Ãþ,2È£ :,1779
2µ¿,4Ãþ,3È£ :,1131
2µ¿,4Ãþ,4È£ :,1597
2µ¿,5Ãþ,1È£ :,1874
2µ¿,5Ãþ,2È£ :,1124
2µ¿,5Ãþ,3È£ :,1292
2µ¿,5Ãþ,4È£ :,1898
2µ¿,6Ãþ,1È£ :,1511
2µ¿,6Ãþ,2È£ :,1073
2µ¿,6Ãþ,3È£ :,1702
2µ¿,6Ãþ,4È£ :,1001
2µ¿,7Ãþ,1È£ :,1541
2µ¿,7Ãþ,2È£ :,1549
2µ¿,7Ãþ,3È£ :,1417
2µ¿,7Ãþ,4È£ :,1423
2µ¿,8Ãþ,1È£ :,1733
2µ¿,8Ãþ,2È£ :,1299
2µ¿,8Ãþ,3È£ :,1111
2µ¿,8Ãþ,4È£ :,1290
2µ¿,9Ãþ,1È£ :,1593
2µ¿,9Ãþ,2È£ :,1370
2µ¿,9Ãþ,3È£ :,1666
2µ¿,9Ãþ,4È£ :,1243
2µ¿,10Ãþ,1È£ :,1074
2µ¿,10Ãþ,2È£ :,1550
2µ¿,10Ãþ,3È£ :,1874
2µ¿,10Ãþ,4È£ :,1917
2µ¿,11Ãþ,1È£ :,1944
2µ¿,11Ãþ,2È£ :,1466
2µ¿,11Ãþ,3È£ :,1289
2µ¿,11Ãþ,4È£ :,1736
2µ¿,12Ãþ,1È£ :,1946
2µ¿,12Ãþ,2È£ :,1472
2µ¿,12Ãþ,3È£ :,1463
2µ¿,12Ãþ,4È£ :,1844
2µ¿,13Ãþ,1È£ :,1804
2µ¿,13Ãþ,2È£ :,1859
2µ¿,13Ãþ,3È£ :,1840
2µ¿,13Ãþ,4È£ :,1313
2µ¿,14Ãþ,1È£ :,1406
2µ¿,14Ãþ,2È£ :,1199
2µ¿,14Ãþ,3È£ :,1485
2µ¿,14Ãþ,4È£ :,1318
2µ¿,15Ãþ,1È£ :,1978
2µ¿,15Ãþ,2È£ :,1868
2µ¿,15Ãþ,3È£ :,1781
2µ¿,15Ãþ,4È£ :,1956
2µ¿,16Ãþ,1È£ :,1872
2µ¿,16Ãþ,2È£ :,1350
2µ¿,16Ãþ,3È£ :,1968
2µ¿,16Ãþ,4È£ :,1227
2µ¿,17Ãþ,1È£ :,1848
2µ¿,17Ãþ,2È£ :,1797
2µ¿,17Ãþ,3È£ :,1378
2µ¿,17Ãþ,4È£ :,1007
2µ¿,18Ãþ,1È£ :,1412
2µ¿,18Ãþ,2È£ :,1231
2µ¿,18Ãþ,3È£ :,1098
2µ¿,18Ãþ,4È£ :,1491
2µ¿,19Ãþ,1È£ :,1298
2µ¿,19Ãþ,2È£ :,1508
2µ¿,19Ãþ,3È£ :,1430
2µ¿,19Ãþ,4È£ :,1236
2µ¿,20Ãþ,1È£ :,1643
2µ¿,20Ãþ,2È£ :,1709
2µ¿,20Ãþ,3È£ :,1168
2µ¿,20Ãþ,4È£ :,1286
3µ¿,1Ãþ,1È£ :,2162
3µ¿,1Ãþ,2È£ :,2174
3µ¿,1Ãþ,3È£ :,2481
3µ¿,1Ãþ,4È£ :,2101
3µ¿,2Ãþ,1È£ :,2997
3µ¿,2Ãþ,2È£ :,2947
3µ¿,2Ãþ,3È£ :,2917
3µ¿,2Ãþ,4È£ :,2288
3µ¿,3Ãþ,1È£ :,2015
3µ¿,3Ãþ,2È£ :,2507
3µ¿,3Ãþ,3È£ :,2264
3µ¿,3Ãþ,4È£ :,2718
3µ¿,4Ãþ,1È£ :,2256
3µ¿,4Ãþ,2È£ :,2261
3µ¿,4Ãþ,3È£ :,2133
3µ¿,4Ãþ,4È£ :,2505
3µ¿,5Ãþ,1È£ :,2572
3µ¿,5Ãþ,2È£ :,2293
3µ¿,5Ãþ,3È£ :,2185
3µ¿,5Ãþ,4È£ :,2754
3µ¿,6Ãþ,1È£ :,2020
3µ¿,6Ãþ,2È£ :,2150
3µ¿,6Ãþ,3È£ :,2194
3µ¿,6Ãþ,4È£ :,2032
3µ¿,7Ãþ,1È£ :,2631
3µ¿,7Ãþ,2È£ :,2163
3µ¿,7Ãþ,3È£ :,2594
3µ¿,7Ãþ,4È£ :,2003
3µ¿,8Ãþ,1È£ :,2286
3µ¿,8Ãþ,2È£ :,2873
3µ¿,8Ãþ,3È£ :,2026
3µ¿,8Ãþ,4È£ :,2296
3µ¿,9Ãþ,1È£ :,2260
3µ¿,9Ãþ,2È£ :,2861
3µ¿,9Ãþ,3È£ :,2966
3µ¿,9Ãþ,4È£ :,2280
3µ¿,10Ãþ,1È£ :,2751
3µ¿,10Ãþ,2È£ :,2912
3µ¿,10Ãþ,3È£ :,2562
3µ¿,10Ãþ,4È£ :,2571
3µ¿,11Ãþ,1È£ :,2256
3µ¿,11Ãþ,2È£ :,2472
3µ¿,11Ãþ,3È£ :,2461
3µ¿,11Ãþ,4È£ :,2510
3µ¿,12Ãþ,1È£ :,2952
3µ¿,12Ãþ,2È£ :,2986
3µ¿,12Ãþ,3È£ :,2038
3µ¿,12Ãþ,4È£ :,2342
3µ¿,13Ãþ,1È£ :,2731
3µ¿,13Ãþ,2È£ :,2888
3µ¿,13Ãþ,3È£ :,2535
3µ¿,13Ãþ,4È£ :,2871
3µ¿,14Ãþ,1È£ :,2295
3µ¿,14Ãþ,2È£ :,2718
3µ¿,14Ãþ,3È£ :,2249
3µ¿,14Ãþ,4È£ :,2615
3µ¿,15Ãþ,1È£ :,2345
3µ¿,15Ãþ,2È£ :,2034
3µ¿,15Ãþ,3È£ :,2035
3µ¿,15Ãþ,4È£ :,2999
3µ¿,16Ãþ,1È£ :,2193
3µ¿,16Ãþ,2È£ :,2007
3µ¿,16Ãþ,3È£ :,2071
3µ¿,16Ãþ,4È£ :,2979
3µ¿,17Ãþ,1È£ :,2336
3µ¿,17Ãþ,2È£ :,2611
3µ¿,17Ãþ,3È£ :,2929
3µ¿,17Ãþ,4È£ :,2146
3µ¿,18Ãþ,1È£ :,2212
3µ¿,18Ãþ,2È£ :,2451
3µ¿,18Ãþ,3È£ :,2331
3µ¿,18Ãþ,4È£ :,2198
3µ¿,19Ãþ,1È£ :,2856
3µ¿,19Ãþ,2È£ :,2012
3µ¿,19Ãþ,3È£ :,2320
3µ¿,19Ãþ,4È£ :,2813
3µ¿,20Ãþ,1È£ :,2570
3µ¿,20Ãþ,2È£ :,2307
3µ¿,20Ãþ,3È£ :,2785
3µ¿,20Ãþ,4È£ :,2129
